,TITLE,TERMS
0,does vitamin d work on covid after all? israeli study suggests so,covid
1,memphis: all citizens seeking emergency shelter from ice storm must take covid test,covid
2,china’s locked-down city thrown into chaos after covid app crash,covid
3,moderna’s covid vaccine for teens awaits ok as regulators review heart inflammation risk + more,covid
4,rise in heart injuries for children below age 12 following covid shots - dr. mccullough [video],covid
5,dominican priest: covid vaccination is not a moral duty,covid
6,poll finds majority of canadians want covid restrictions scrapped following trucker protests,covid
7,"nurse claims canadian pm justin trudeau’s covid-19 vaccination was faked, points out red flags",covid
8,ann vandersteel slams hospitals profiting from covid-19 pandemic – brighteon.tv,covid pandemic
9,biden admin bribing doctors to push covid shots on children,covid
10,numbers don't lie: british children 52 times more likely to die after covid shot,covid
11,doctors are testifying that covid-19 vaccines are giving people cancer and aids,covid
12,"japanese study finds that ivermectin is ""safe and effective"" for treating covid",covid
13,"12 countries roll back covid restrictions, israel scraps ‘green pass’",covid
14,fda used ‘critically flawed’ risk-benefit analysis to ‘justify’ covid vaccines for children,covid
15,"covid vaccines cause ‘irreparable’ damage to kids’ brains, heart, other organs - global research",covid
